step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
146,115,10.8136,104535.9238,327743.9591,12.0,5,1,0,909.008,2849.9475
147,116,10.9853,112481.4541,352654.9525,9.0,3,1,0,969.6677,3040.1289
148,117,11.2114,132325.2253,414870.9029,11.0,3,1,0,1130.9848,3545.9052
149,118,11.3471,125814.9309,394460.4799,13.0,3,1,0,1066.2282,3342.8854
150,119,11.4823,116011.3338,363722.77,16.0,4,1,0,974.8852,3056.4939
151,119,11.7408,128515.26,402926.0973,21.0,5,0,0,1079.9602,3385.9336
152,119,11.7271,97972.2123,307165.224,26.0,5,0,0,823.2959,2581.2204
153,118,11.5369,94469.2699,296182.5189,33.0,7,0,1,800.587,2510.0213
154,119,11.4324,106207.9033,332986.3242,40.0,8,1,0,892.5034,2798.2044
155,121,11.0436,88529.0491,277557.2497,47.0,9,2,0,731.645,2293.8616
156,123,10.9417,110972.5426,347923.8062,55.0,10,2,0,902.2158,2828.6488
157,123,10.9336,103695.1192,325107.069,56.0,7,0,0,843.0497,2643.1469
158,124,10.8081,111125.3356,348402.6481,64.0,9,1,0,896.1721,2809.6988
159,125,10.7351,111579.7804,349827.4437,72.0,9,1,0,892.6382,2798.6195
160,126,10.9235,120157.5003,376720.1182,81.0,10,1,0,953.631,2989.8422
161,127,11.1895,128191.2987,401908.6413,47.0,7,1,0,1009.3803,3164.635
162,128,11.308,121021.5282,379430.2442,44.0,5,1,0,945.4807,2964.2988
163,128,11.4069,109931.7416,344660.5793,17.0,2,0,0,858.8417,2692.6608
164,129,11.4736,118014.01,370001.2892,19.0,3,1,0,914.8373,2868.227
165,129,11.6056,122454.1583,383922.7971,21.0,3,1,1,949.257,2976.1457
166,130,11.49,110442.3252,346261.9806,23.0,3,1,0,849.5563,2663.5537
167,131,11.4455,121325.1886,380382.6881,26.0,4,1,0,926.1465,2903.6846
168,131,11.4353,112919.0554,354027.3652,29.0,3,0,0,861.9775,2702.499
169,131,11.6133,121003.0737,379372.6004,32.0,3,0,0,923.6876,2895.974
170,133,11.5224,125610.3127,393818.205,22.0,4,2,0,944.4384,2961.0391
171,134,11.3845,114280.5539,358296.8179,26.0,5,1,0,852.84,2673.8568
172,134,11.0501,107968.171,338505.1898,29.0,5,1,1,805.7326,2526.1581
173,135,10.9691,117692.1689,368991.8169,5.0,3,1,0,871.7938,2733.2727
174,135,11.0699,119826.4448,375683.3812,9.0,4,0,0,887.6033,2782.8399
