step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
103,17,10.1592,13158.0331,41253.1642,0.0,0,0,0,774.0019,2426.6567
104,17,10.5926,18134.1253,56854.6682,0.0,0,0,0,1066.7133,3344.3922
105,17,11.1067,18440.6456,57815.8282,0.0,0,0,0,1084.7439,3400.9311
106,17,11.3602,14151.9512,44369.8017,0.0,0,0,0,832.4677,2609.9883
107,17,11.53,14574.2318,45693.5687,0.0,0,0,0,857.3078,2687.857
108,18,10.7777,14304.5208,44848.0698,0.0,1,1,0,794.6956,2491.5594
109,18,10.4214,9538.6102,29905.36,0.0,0,0,0,529.9228,1661.4089
110,18,10.577,13305.3992,41715.2136,0.0,0,0,0,739.1888,2317.5119
111,18,10.8677,14956.3214,46891.1159,0.0,0,0,0,830.9067,2605.062
112,18,11.1591,17291.2529,54212.0766,0.0,0,0,0,960.6252,3011.782
113,18,11.5591,18645.068,58456.9096,0.0,0,0,0,1035.8371,3247.6061
114,19,10.8473,15875.7576,49774.0774,0.0,1,1,0,835.5662,2619.6883
115,19,10.9652,13155.0336,41243.8224,0.0,0,0,0,692.3702,2170.7275
116,19,11.0787,14183.0279,44466.8824,0.0,0,0,0,746.4752,2340.3622
117,19,10.8965,11144.6355,34940.5689,0.0,0,0,0,586.5598,1838.9773
118,19,11.0903,20501.8378,64277.9009,0.0,0,0,0,1079.0441,3383.0474
119,19,10.7343,9262.0123,29038.4226,0.0,0,0,0,487.4743,1528.338
120,20,10.0372,15615.8982,48959.1768,0.0,1,1,0,780.7949,2447.9588
121,20,10.1507,16585.4311,51999.0461,0.0,0,0,0,829.2716,2599.9523
122,20,9.9883,13970.9778,43801.8955,1.0,1,0,0,698.5489,2190.0948
123,20,9.9687,14330.7334,44929.6536,2.0,1,0,0,716.5367,2246.4827
124,20,9.7027,11321.4343,35494.9211,3.0,1,0,0,566.0717,1774.7461
125,20,10.1007,24346.6502,76332.4686,4.0,1,0,0,1217.3325,3816.6234
126,20,9.9224,21758.1192,68216.7362,5.0,2,1,1,1087.906,3410.8368
127,20,9.9599,17194.1791,53907.3782,6.0,1,0,0,859.709,2695.3689
128,20,10.0588,15209.4301,47684.5752,7.0,1,0,0,760.4715,2384.2288
129,20,10.1589,14568.3401,45674.8774,8.0,1,0,0,728.417,2283.7439
