step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
190,88,10.9596,82262.7174,257912.0908,0.0,1,1,1,934.8036,2930.8192
191,88,11.0829,78758.465,246925.9223,0.0,0,0,0,894.9826,2805.9764
192,89,11.0361,79281.9192,248567.4062,0.0,1,1,0,890.8081,2792.8922
193,89,11.1337,78917.7146,247425.0386,0.0,0,0,0,886.7159,2780.0566
194,90,11.0074,69276.3297,217196.4316,0.0,1,1,0,769.737,2413.2937
195,90,10.9745,70712.738,221700.8586,1.0,1,0,0,785.6971,2463.3429
196,90,10.8457,75320.0715,236145.2585,2.0,2,1,1,836.8897,2623.8362
197,90,10.8467,70160.8205,219969.7858,3.0,1,0,0,779.5647,2444.1087
198,91,10.8288,85464.4846,267949.7801,4.0,2,1,0,939.1702,2944.5031
199,91,10.9978,81418.4576,255264.8512,5.0,1,0,0,894.7083,2805.1083
200,92,10.8401,77400.288,242667.4076,6.0,2,1,0,841.3075,2637.6892
201,92,10.833,75591.0406,236994.9648,9.0,3,0,0,821.6417,2576.0322
202,93,10.7896,83341.9943,261296.3552,12.0,4,1,0,896.1505,2809.6382
203,93,10.819,76833.1148,240889.1509,15.0,3,0,0,826.1625,2590.2059
204,93,10.6058,70374.4985,220639.1665,19.0,5,1,1,756.715,2372.4642
205,93,10.6242,82450.4573,258500.6541,12.0,3,0,0,886.5641,2779.5769
206,94,10.3628,79988.8727,250782.9304,17.0,6,1,0,850.9455,2667.9035
207,94,10.0283,67999.4049,213192.221,24.0,7,0,0,723.3979,2268.0024
208,94,9.8521,75960.6035,238152.7176,25.0,7,1,1,808.0915,2533.5395
209,93,9.8722,84387.0441,264571.2622,33.0,8,0,1,907.3876,2844.8523
210,94,9.8698,81485.391,255473.5318,38.0,10,1,0,866.8659,2717.8035
211,94,10.0719,92511.8988,290045.5841,43.0,8,0,0,984.1691,3085.5913
212,95,9.9976,81575.5874,255756.6977,51.0,9,1,0,858.6904,2692.1758
213,95,10.1298,82305.1137,258044.0738,59.0,8,0,0,866.3696,2716.2534
214,96,10.0988,88424.2539,277229.3702,67.0,9,1,0,921.086,2887.8059
215,96,10.0253,74032.8339,232108.5135,54.0,7,0,0,771.1754,2417.797
216,97,10.2538,99346.0438,311471.9515,42.0,6,1,0,1024.186,3211.051
217,97,10.4108,88155.3283,276386.4311,41.0,5,0,0,908.8178,2849.3447
218,98,10.2141,76660.6293,240347.8299,46.0,6,1,0,782.2513,2452.5289
